"Endowing Robots with Longer-term Autonomy by Recovering from External Disturbances in Manipulation Through Grounded Anomaly Classification and Recovery Policies", 2021-02-22, https://doi.org/10.1007/s10846-021-01312-6
"Combination of deep neural networks and logical rules for record segmentation in historical handwritten registers using few examples", 2021-03-03, https://doi.org/10.1007/s10032-021-00362-8
"Factorials Experiments, Covering Arrays, and Combinatorial Testing", 2021-04-12, https://doi.org/10.1007/s11786-021-00502-7
"Motivations, design, and preliminary testing for a 360° vision simulator", 2020-04-23, https://doi.org/10.1007/s10055-020-00433-x
